index,Filer_499_ID,LastFiling,USF_Contributor_1,Legal_Name_of_Carrier,Doing_Business_As,Principal_Comm_Type_1,Holding_Company,CORESID,Management_Company,HQ_Address1,HQ_Address2,HQ_Address3,HQ_City,HQ_State,HQ_Zip_Code,Customer_Inquiries_Address1,Customer_Inquiries_Address2,Customer_Inquiries_Address3,Customer_Inquiries_City,Customer_Inquiries_State,Customer_Inquiries_Zip_Code,Customer_Inquiries_Telephone,Customer_Inquiries_Ext,Other_Trade_Name1,Other_Trade_Name2,Other_Trade_Name3,Other_Trade_Name4,Other_Trade_Name5,Other_Trade_Name6,Other_Trade_Name7,Other_Trade_Name8,Other_Trade_Name9,Other_Trade_Name10,Other_Trade_Name11,Other_Trade_Name12,Other_Trade_Name13,DC_Agent1,DC_Agent2,DC_Agent_Telephone,DC_Agent_Ext,DC_Agent_Fax,DC_Agent_EMail,DC_Agent_Address1,DC_Agent_Address2,DC_Agent_Address3,DC_Agent_City,DC_Agent_State,DC_Agent_Zip,Alternate_Agent1,Alternate_Agent2,Alternate_Agent_Telephone,Alternate_Agent_Ext,Alternate_Agent_Fax,Alternate_Agent_EMail,Alternate_Agent_Address1,Alternate_Agent_Address2,Alternate_Agent_Address3,Alternate_Agent_City,Alternate_Agent_State,Alternate_Agent_Zip_Code,Alabama,Alaska,American_Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Johnston_Atoll,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Midway_Atoll,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Northern_Mariana_Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto_Rico,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,US_Virgin_Islands,Vermont,Virginia,Wake_Island,Washington,West_Virginia,Wisconsin,Wyoming,note1,note2,note3
0,801246,4/1/2019,Yes,North Penn Tel. Co.,North Penn Telephone Company,Incumbent LEC,EMPIRE TELEPHONE CORP/NORTH PENN TELEPHONE COMPANY,0004324802,,34 Main St,PO BOX 349,,Prattsburgh,NY,14873,34 Main St.,,,Prattsburgh,NY,14873,(607) 522-3712,,North Penn Telephone Company,,,,,,,,,,,,,Thomas Moorman,Woods & Aitken LLP,(202) 944-9500,,(202) 944-9501,FCCagent@woodsaitken.com,"5335 Wisconsin Avenue, N.W.",Suite 950,,Washington,DC,20015-2092,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1,801252,4/1/2019,Yes,Empire Tel. Corp.,Empire Telephone Company,Incumbent LEC,EMPIRE TELEPHONE CORP/NORTH PENN TELEPHONE COMPANY,0004314605,,34 Main St,PO Box 349,,Prattsburgh,NY,14873,34 Main St.,P.O. Box 349,,Prattsburgh,NY,14873,(607) 522-3712,,Empire Telephone Corporation,,,,,,,,,,,,,Thomas Moorman,Woods & Aitken LLP,(202) 944-9500,,(202) 944-9501,FCCagent@woodsaitken.com,"5335 Wisconsin Avenue, N.W.",Suite 950,,Washington,DC,20015-2092,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
7,801228,4/1/2019,Yes,Runestone Tel. Assn.,Runestone Telephone Association,Incumbent LEC,,0003759859,,100 Runestone Drive,PO Box 336,,Hoffman,MN,56339-0336,100 Runestone Drive,PO Box 336,,Hoffman,MN,56339-0336,(320) 986-2013,,Runestone Long Distance,,,,,,,,,,,,,Hal Mordkofsky,"Blooston, Mordkofsky, Dickens, Duffy & Prendergast",(202) 659-0830,,(202) 828-5568,halmor@bmjd.com,2120 L St NW,,,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
8,801222,4/1/2019,Yes,Roberts County Tel. Coop. Assn.,Roberts County Telephone Cooperative Association,Incumbent LEC,,0003728680,,PO Box 197,Main St,,New Effington,SD,57255-0197,PO Box 197,Main St,,New Effington,SD,57255-0197,(888) 668-0877,,,,,,,,,,,,,,,Hal Mordkofsky,"Blooston, Mordkofsky, Jackson & Dickens",(202) 659-0830,,(202) 828-5568,halmor@bmjd.com,"Blooston, Mordkofsky, Jackson & Dickens","2120 L Street, NW",,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
10,801231,4/1/2019,Yes,Citizens Tel. Coop.,Citizens Telephone Cooperative,Incumbent LEC,CITIZENS TELEPHONE COOPERATIVE,0004381422,,PO Box 137,220 Webbs Mill Rd N,,Floyd,VA,24091,PO Box 137,220 Webbs Mill Rd N,,Floyd,VA,24091,(540) 745-2111,,Citizens Internet,Citizens Long Distance,,,,,,,,,,,,,National Registered Agents Inc,(202) 371-8090,,(202) 371-8090,none@none.com,1090 Vermont Ave NW,Suite 900,,Washington,DC,20005,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
11,801234,4/1/2019,Yes,Star Tel. Membership Corp.,Star Telephone Membership Corporation,Incumbent LEC,,0001960962,,PO BOX 348,,,Clinton,NC,28329,PO BOX 348,,,Clinton,NC,28329,(910) 564-7869,,,,,,,,,,,,,,,Dave Nace,"Lukas, Nace, Guitierrez & Sachs, Chartered",(703) 584-8678,,(703) 584-8696,dnace@fcclaw.com,1250 Maryland Avenue SW,,,Washington,DC,20024,David Nace,"Lukas, Nace, Gutierrez & Sachs",(703) 584-8678,,,dnace@fcclaw.com,8300 Greensboro Drive,Suite 1200,,McLean,VA,22102-3663,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
12,801237,4/1/2019,Yes,Brazoria Tel. Co.,Brazoria Telephone Company,Incumbent LEC,,0004333407,,P O Box 2008,,,Brazoria,TX,77422,P O Box 2008,,,Brazoria,TX,77422,(800) 396-2910,,Brazoria Telephone Company,,,,,,,,,,,,,John Adams,"The Adams Legal Firm, LLC",(202) 448-9033,,(202) 448-9040,jbadams@adamslegalfirm.com,"2100 M Street, NW #170-218",,,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
13,801240,4/1/2019,Yes,Crockett Telephone Co. Inc.,"Crockett Telephone Co., Inc.",Incumbent LEC,Telephone Electronics Corporation,0003723707,,236 East Capitol St,Floor 5,,Jackson,MS,39201,236 East Capitol St,Floor 5,,Jackson,MS,39201,(601) 354-9070,,Crockett Long Distance,TEC - Friendship Division,,,,,,,,,,,,Thomas Moorman,Woods & Aitken LLP,(202) 944-9500,,(202) 944-9501,FCCagent@woodsaitken.com,"5335 Wisconsin Avenue, N.W.",Suite 950,,Washington,DC,20015-2092,Lisa Wigington,Telephone Electronics Corporation,(601) 354-9070,,,LisaW@tec.com,236 E Capitol St.,5th Floor,,Jackson,MS,39201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
15,801258,4/1/2019,Yes,The Arthur Mutual Telephone Company,The Arthur Mutual Telephone Company,Incumbent LEC,,0004329330,,21980 State Rt 637,,,Defiance,OH,43512-9308,21980 State Rt 637,,,Defiance,OH,43512-9308,(419) 393-2233,,Arthur Mutual Telephone Company,Artelco,"Artelcom, LLC",,,,,,,,,,,David Nace,"Lukas, Nace, Gutierrez & Sachs, Chartered",(202) 363-7201,,(202) 584-8695,dnace@fcclaw.com,5184 Palisade Lane NW,,,Washington,DC,20016,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
16,801264,4/1/2019,Yes,Tri-County Telephone Company,TDS Telecom,Incumbent LEC,TDS Telecommunications Corporation,0002897064,TDS TELECOMMUNICATIONS CORP,525 Junction Rd,,,Madison,WI,53717-2152,525 Junction Rd,,,Madison,WI,53717-2152,(608) 664-4000,,,,,,,,,,,,,,,Mace Rosenstein,Covington & Burling LLP,(202) 662-5460,,(202) 778-5460,mrosenstein@cov.com,Covington & Burling LLP,Mace Rosenstein,1201 Pennsylvania Ave NW,Washington,DC,20004,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
